r_mopac_Alpha_LUMO_Energy,r_mopac_Alpha_SOMO_Energy,r_mopac_Beta_LUMO_Energy,r_mopac_Beta_SOMO_Energy,r_mopac_Dipole,r_mopac_Dipole_X,r_mopac_Dipole_Y,r_mopac_Dipole_Z,r_mopac_Ionization_Energy,r_mopac_MOPAC_Heat_of_Formation,r_mopac_MOPAC_Total_Energy_EV,i_desc_Chirality_count,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,FEBo
-3.968,-9.466,-3.968,-9.438,40.4255891820774,0.152708037558651,-38.4074249697839,12.6124798578147,9.43785606466373,-221.861110819736,-7565.6108,3,0.895308852017969,4811.75986106704,8072.40585537021,11998.0907760994,0.401043795288848,0.672807532966052,4.48843796292745,0.000139825667197,0.916058881437387,0.250954022506075,0.126870547151967,-10.3
-4.063,-9.469,-4.063,-9.802,39.0600580864198,-3.5936739527153,33.1192887792,20.3932919362231,9.4692427651149,-222.341607233189,-7565.3126,2,0.915579217025738,5008.53313873888,7660.67160998591,11831.0092101482,0.423339467476939,0.647507873074335,4.45021641002804,0.000129280940175,0.905971133798612,0.236469785378494,0.140255508650484,-8.8
-3.965,-9.595,-3.965,-9.972,38.6792791410796,-11.3274103430112,-29.5961641233571,-22.177544475841,9.59497585431447,-224.244498241693,-7565.4446,1,0.900914612199468,4434.48533318124,21162.2620553925,24784.7191540842,0.178920136460392,0.85384312502509,6.38162962118666,0.000192546160574,0.983863600693203,0.557124774008936,0.073826523684515,-8.9
-2.69,-10.853,-2.678,-10.772,11.9131024153156,3.2460302089797,-9.45473266108299,6.48022587165287,10.7722714348743,-264.353086282179,-7567.0743,2,1.1411715115357,5285.94142393878,7353.41479075812,11011.6850494438,0.480030204297006,0.667782883159154,4.37598151270568,0.000126331873474,0.877251960934015,0.180350642353927,0.215880371073879,-8.6
-2.561,-10.662,-2.586,-11.066,13.1224625012058,-5.018999959317,-7.40247352068771,-9.6027104131826,10.6618899356941,-257.234743492736,-7566.5347,3,1.07189683667794,4870.10757739733,8614.70294045861,12008.4844240117,0.405555556008321,0.71738469537696,4.54321543268103,0.000147303665058,0.914070397174518,0.235406121962184,0.192731292329515,-9.6
-2.446,-10.006,-2.445,-10.144,26.4822409055651,-7.64436163291332,-25.274068059392,2.02343824586914,10.0058904828183,-256.858806895034,-7566.6126,0,0.909484817805065,4593.33738724163,8635.63373570592,12401.4119696071,0.370388258893328,0.696342783940234,4.55170116202093,0.000151598440357,0.928877030437274,0.278535457523128,0.126087693578685,-10.7
-4.04,-9.539,-4.04,-9.873,40.7154936871974,-0.610381901544388,34.8352283917208,-21.0685956585418,9.53903804557011,-222.09385437466,-7565.3996,2,1.11085483312633,5559.68446390706,15903.6661366488,19992.9953401871,0.278081616551562,0.795461903833966,5.78884208042722,0.000143076807506,0.960557449888381,0.386402308687399,0.139746135206338,-9.3
-2.393,-10.75,-2.413,-11.034,12.0942059668513,-5.06394817425766,-5.30744078740023,-9.61547290284236,10.7498344883185,-275.676581345411,-7567.2733,2,0.830048578433452,5817.47029914512,12690.6604651917,17799.2388763498,0.326838149628686,0.712988940333515,5.42185300529409,0.000122559962264,0.945080326716886,0.32908051331686,0.085110256608758,-8.3
-3.611,-11.314,-3.5,-11.314,13.0110992583605,1.54377274825453,-5.37172874279904,11.7494680699358,11.3140114139984,-266.917089673836,-7566.998,3,0.937120494353552,5674.13516064377,12436.0396964519,16984.7331557026,0.334072670358008,0.73218928919566,5.3262095201775,0.000129039804035,0.942547320254993,0.315581840407613,0.108786963887083,-8.6
-2.656,-10.614,-2.647,-10.727,17.4833442220273,0.774235033777839,-11.7227380248063,12.9477912595209,10.6135581998493,-255.283362001967,-7566.4315,0,0.835949156652783,5633.23307234849,12846.1084243712,17782.7456547093,0.31678083810734,0.722391731502342,5.41847088752922,0.000128237500956,0.948498761521601,0.340710283915938,0.08372248492774,-6.5
-3.98,-9.523,-3.98,-9.925,37.1391441156915,9.96350011078802,-29.6815783190953,19.9762008318859,9.52296762121268,-224.521317156643,-7565.515,0,1.06311721359067,5070.02926862117,7572.89072205427,11071.7918258352,0.457923102996808,0.683980591504934,4.38186780521953,0.000134906635695,0.888991806341191,0.193915308218256,0.188538980649182,-8.9
-4.021,-9.374,-4.021,-9.626,37.0137636258694,-1.53151515023056,-31.90307307881,18.7047343532181,9.37421376165922,-215.748935735377,-7565.3277,1,0.950432811523812,5758.69904671753,6662.09891295538,11251.2065681536,0.511829465740808,0.592123064544239,4.37792042386945,0.000102822366604,0.859087072420182,0.18574961271288,0.139629377247047,-8.8
-2.508,-9.923,-2.508,-10.111,24.3361270914352,1.5435782977169,-22.9325308517526,-7.99771696065301,9.92301436388279,-257.260499668249,-7566.609,1,0.819989852429667,5215.59348073182,12611.9226538721,16890.2886915942,0.308792441382453,0.746696689687054,5.30183825375744,0.000143166198141,0.951129448679339,0.34730622972986,0.090568820260679,-9.7
