,r_mopac_Alpha_LUMO_Energy,r_mopac_Alpha_SOMO_Energy,r_mopac_Dipole_X,r_mopac_Dipole_Y,r_mopac_Dipole_Z,i_desc_Chirality_count,PBF,PMI1,PMI2,FEBc,grupo
0,-3.968,-9.466,0.152708037558651,-38.4074249697839,12.6124798578147,3,0.895308852017969,4811.75986106704,8072.40585537021,-8.6,1
1,-4.063,-9.469,-3.5936739527153,33.1192887792,20.3932919362231,2,0.915579217025738,5008.53313873888,7660.67160998591,-8.9,1
2,-3.965,-9.595,-11.3274103430112,-29.5961641233571,-22.177544475841,1,0.900914612199468,4434.48533318124,21162.2620553925,-6.5,1
3,-2.69,-10.853,3.2460302089797,-9.45473266108299,6.48022587165287,2,1.1411715115357,5285.94142393878,7353.41479075812,-9.2,0
4,-2.561,-10.662,-5.018999959317,-7.40247352068771,-9.6027104131826,3,1.07189683667794,4870.10757739733,8614.70294045861,-10.9,0
5,-2.446,-10.006,-7.64436163291332,-25.274068059392,2.02343824586914,0,0.909484817805065,4593.33738724163,8635.63373570592,-10.5,0
6,-4.04,-9.539,-0.610381901544388,34.8352283917208,-21.0685956585418,2,1.11085483312633,5559.68446390706,15903.6661366488,-7.0,1
7,-2.393,-10.75,-5.06394817425766,-5.30744078740023,-9.61547290284236,2,0.830048578433452,5817.47029914512,12690.6604651917,-10.6,0
8,-3.611,-11.314,1.54377274825453,-5.37172874279904,11.7494680699358,3,0.937120494353552,5674.13516064377,12436.0396964519,-8.9,0
9,-2.656,-10.614,0.774235033777839,-11.7227380248063,12.9477912595209,0,0.835949156652783,5633.23307234849,12846.1084243712,-8.7,0
10,-3.98,-9.523,9.96350011078802,-29.6815783190953,19.9762008318859,0,1.06311721359067,5070.02926862117,7572.89072205427,-9.7,1
11,-4.021,-9.374,-1.53151515023056,-31.90307307881,18.7047343532181,1,0.950432811523812,5758.69904671753,6662.09891295538,-7.3,1
12,-2.508,-9.923,1.5435782977169,-22.9325308517526,-7.99771696065301,1,0.819989852429667,5215.59348073182,12611.9226538721,-9.8,0
14,-2.779,-10.919,2.57965695734847,9.1917026297325,-14.3734440436491,2,0.965427737547786,5036.11248597813,7713.76408600951,-9.3,0
15,-2.724,-9.905,-1.10327517197391,-26.1805343231567,-0.760043925086447,2,0.950307852337951,5911.69394952784,11652.2044416829,-8.5,0
16,-2.38,-10.214,-13.1525969499453,3.49108334624492,-14.5373077127799,2,1.40948382866854,5047.34919962712,8413.64443983828,-9.8,0
17,-3.97,-9.514,-4.749523969914,34.3301149932678,-14.9213842283407,3,0.897647597035143,5569.8305451404,7291.16676876259,-10.3,1
18,-2.724,-9.923,0.29337007779457,23.212040747098,7.954794205786,1,1.02078008197391,4360.95580988171,6772.15732640495,-8.7,0
19,-3.821,-9.361,3.96700488332643,29.563350927484,-21.05185430693,2,1.1421455755332,5528.73695117181,7746.62450335059,-8.4,1
20,-2.787,-11.189,3.22186088213062,-6.14952763895614,11.7874984669725,3,1.33096254776405,5195.97480969449,7712.24821853474,-4.8,0
21,-2.657,-11.185,0.334452794116657,-3.98411024830165,-10.6235098066994,0,1.13827898247071,5016.79287456082,7665.80686832393,-10.8,0
22,-2.624,-10.935,6.06784824478538,9.12468247668771,-15.0705594633576,1,1.43069564177151,5396.68864464964,8198.48515768378,-9.3,0
23,-3.992,-9.593,13.626112683162,-28.8848445075033,15.8002688750844,1,1.16334133691979,5048.31291872933,6572.71206374108,-9.1,1
24,-2.403,-10.056,-1.49104500972763,20.0450376133267,6.92068614788466,1,0.935342743978982,4861.36144984927,8797.79339204488,-11.7,0
